127.0.0.1 - - [27/Sep/2022:14:40:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:40:25 +0900] "GET /ch03/page_contentType01.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:40:59 +0900] "GET /ch03/page_contentType01.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:02:49 +0900] "GET /ch03/page_import.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:02:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:20:07 +0900] "GET /ch03/page_errorPagejsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:20:11 +0900] "GET /ch03/page_errorPage.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [27/Sep/2022:15:25:56 +0900] "GET /ch03/page_errorPage.jsp HTTP/1.1" 500 323
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:17:23 +0900] "GET /ch03/taglib.jsp HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:23:29 +0900] "GET /ch03/taglib.jsp HTTP/1.1" 500 2475
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:23:53 +0900] "GET /ch03/taglib.jsp HTTP/1.1" 500 2475
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:24:28 +0900] "GET /ch03/taglib.jsp HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:31:41 +0900] "GET /ch03/taglib.jsp HTTP/1.1" 500 2492
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:31:56 +0900] "GET /ch03/taglib.jsp HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [27/Sep/2022:16:32:11 +0900] "GET /ch03/taglib.jsp HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [27/Sep/2022:17:01:22 +0900] "GET /ch03/taglib.jsp HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [27/Sep/2022:17:01:27 +0900] "GET /ch03/jstl.jsp HTTP/1.1" 200 331
